,Unnamed: 0,State,District,Name,Party,Incumbent,Winner,Vote_Percentage,Raised,Spent,MaxSpentPer
321,321,KY,4,Alexandra Owensby,D,1,False,32.9,156174.0,106359.0,False
322,322,KY,5,Hal Rogers,R,1,True,84.2,664168.0,835781.0,True
323,323,KY,6,Andy Barr,R,1,True,57.3,4536264.0,4316239.0,True
324,324,KY,6,Josh Hicks,D,1,False,41.0,2936320.0,2935615.0,False
325,325,LA,1,Steve Scalise,R,1,True,72.2,37262827.0,32830607.0,True
326,326,LA,2,Cedric Richmond,D,1,True,63.6,1628289.0,1302079.0,True
327,327,LA,3,Clay Higgins,R,1,True,67.8,751498.0,720424.0,True
328,328,LA,3,Robert Jon Anderson,D,1,False,11.6,63617.0,48015.0,False
329,329,LA,3,Braylon Harris,D,1,False,17.9,23006.0,15130.0,False
330,330,LA,4,Mike Johnson,R,1,True,60.4,1299787.0,1039393.0,True
331,331,LA,4,Kenny Houston,D,1,False,25.5,33677.0,33407.0,False
332,332,LA,6,Garret Graves,R,1,True,71.1,1743015.0,1200287.0,True
333,333,LA,6,Dartanyon Williams,D,1,False,25.6,111316.0,98114.0,False
334,334,ME,1,Chellie Pingree,D,1,True,61.5,487080.0,264790.0,True
335,335,ME,1,Jay Allen,R,1,False,38.5,79585.0,69853.0,False
336,336,ME,2,Jared Golden,D,1,True,52.9,5272142.0,5233990.0,True
337,337,ME,2,Dale Crafts,R,1,False,47.1,1199805.0,1196117.0,False
