State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Max Raised Candidate,Max Spent Candidate,Money_Difference
NC,6,Kathy Manning,D,False,True,62.3,2002284.0,1695596.0,True,True,306688.0
NC,7,David Rouzer,R,True,True,60.3,1628458.0,1038883.0,True,True,589575.0
NC,8,Richard Hudson,R,True,True,53.3,4135872.0,4359009.0,True,True,-223137.0
NC,9,Dan Bishop,R,True,True,55.6,4090260.0,4029864.0,True,True,60396.0
NC,10,Patrick McHenry,R,True,True,68.9,2780234.0,2339363.0,True,True,440871.0
NC,11,Madison Cawthorn,R,False,True,54.5,4478970.0,4366783.0,True,True,112187.0
NC,12,Alma Adams,D,True,True,100.0,824124.0,651883.0,True,True,172241.0
NC,13,Ted Budd,R,True,True,68.2,2294174.0,1293414.0,True,True,1000760.0
ND,1,Kelly Armstrong,R,True,True,69.0,1269346.0,1080105.0,True,True,189241.0
OH,1,Steve Chabot,R,True,True,51.8,3177647.0,2861464.0,False,False,316183.0
OH,2,Brad Wenstrup,R,True,True,61.1,1794354.0,1757078.0,True,True,37276.0
OH,3,Joyce Beatty,D,True,True,70.8,2237887.0,2540687.0,True,True,-302800.0
OH,4,Jim Jordan,R,True,True,67.9,18313823.0,12945651.0,True,True,5368172.0
OH,5,Bob Latta,R,True,True,68.0,1580952.0,1477090.0,True,True,103862.0
OH,6,Bill Johnson,R,True,True,74.4,1866123.0,1853361.0,True,True,12762.0
OH,7,Bob Gibbs,R,True,True,67.5,791888.0,453928.0,True,True,337960.0
OH,8,Warren Davidson,R,True,True,69.0,1016740.0,841533.0,True,True,175207.0
OH,9,Marcy Kaptur,D,True,True,63.1,1090395.0,979798.0,True,True,110597.0
OH,10,Michael R Turner,R,True,True,58.4,1752255.0,1736283.0,False,False,15972.0
OH,11,Marcia Fudge,D,True,True,80.1,755787.0,499820.0,True,True,255967.0
OH,12,Troy Balderson,R,True,True,55.2,2016826.0,1995665.0,True,True,21161.0
OH,13,Tim Ryan,D,True,True,52.5,1972446.0,2071454.0,True,True,-99008.0
