,Year,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
218,2020,CA,01,Audrey Denney,D,False,False,43.1,"$2,461,769","$2,457,661"
219,2020,CA,02,Jared Huffman,D,True,True,75.7,"$899,419","$797,753"
220,2020,CA,02,Dale Mensing,R,False,False,24.3,"$5,921","$2,197"
221,2020,CA,03,John Garamendi,D,True,True,54.7,"$1,054,066","$667,320"
222,2020,CA,03,Tamika Hamilton,R,False,False,45.3,"$397,099","$384,584"
223,2020,CA,04,Tom McClintock,R,True,True,55.9,"$2,053,363","$2,107,248"
224,2020,CA,04,Brynne Kennedy,D,False,False,44.1,"$3,006,020","$3,002,532"
225,2020,CA,05,Mike Thompson,D,True,True,76.8,"$2,208,136","$2,022,751"
226,2020,CA,06,Doris Matsui,D,True,True,73.4,"$1,019,605","$1,073,529"
227,2020,CA,06,Chris Bish,R,False,False,26.6,"$44,772","$44,554"
228,2020,CA,07,Ami Bera,D,True,True,56.6,"$1,757,748","$1,053,444"
229,2020,CA,07,Buzz Patterson,R,False,False,43.4,"$43,876","$29,614"
230,2020,CA,08,Jay Obernolte,R,False,True,56.1,"$1,861,647","$1,792,064"
231,2020,CA,08,Chris Bubser,D,False,False,43.9,"$1,858,001","$1,856,613"
232,2020,CA,09,Jerry McNerney,D,True,True,57.6,"$1,177,959","$1,112,543"
233,2020,CA,09,Tony Amador,R,False,False,42.4,"$52,175","$52,175"
234,2020,CA,10,Josh Harder,D,True,True,55.2,"$7,400,135","$3,950,613"
235,2020,CA,10,Ted Howze,R,False,False,44.8,"$1,426,552","$1,721,882"
236,2020,CA,11,Mark Desaulnier,D,True,True,73.0,"$610,394","$440,537"
237,2020,CA,11,Nisha Sharma,R,False,False,27.0,"$174,954","$171,870"
238,2020,CA,12,Nancy Pelosi,D,True,True,77.6,"$27,359,508","$22,064,953"
239,2020,CA,12,Shahid Buttar,D,False,False,22.4,"$1,672,876","$1,650,467"
240,2020,CA,13,Barbara Lee,D,True,True,90.4,"$1,828,213","$1,750,142"
241,2020,CA,13,Nikka Piterman,R,False,False,9.6,"$9,839","$9,904"
242,2020,CA,14,Jackie Speier,D,True,True,79.3,"$942,934","$919,599"
243,2020,CA,15,Eric Swalwell,D,True,True,70.9,"$2,807,774","$3,977,839"
244,2020,CA,16,Jim Costa,D,True,True,59.3,"$2,135,525","$1,835,244"
245,2020,CA,16,Kevin Cookingham,R,False,False,40.7,"$265,364","$265,364"
246,2020,CA,17,Ro Khanna,D,True,True,71.3,"$3,837,982","$2,455,457"
247,2020,CA,17,Ritesh Tandon,R,False,False,28.7,"$175,536","$175,015"
248,2020,CA,18,Anna Eshoo,D,True,True,63.2,"$2,114,909","$2,059,158"
249,2020,CA,18,Rishi Kumar,D,False,False,36.8,"$674,383","$691,938"
250,2020,CA,19,Zoe Lofgren,D,True,True,71.7,"$1,755,555","$1,731,700"
251,2020,CA,19,Justin Aguilera,R,False,False,28.3,"$9,112","$11,542"
252,2020,CA,20,Jimmy Panetta,D,True,True,76.8,"$2,009,894","$1,592,671"
253,2020,CA,20,Jeff Gorman,R,False,False,23.2,"$67,634","$64,947"
254,2020,CA,21,TJ Cox,D,True,False,49.6,"$5,695,157","$5,694,005"
255,2020,CA,21,David Valadao,R,False,True,50.4,"$4,067,880","$3,982,587"
256,2020,CA,22,Devin Nunes,R,True,True,54.2,"$26,825,212","$20,156,093"
257,2020,CA,22,Phil Arballo,D,False,False,45.8,"$5,091,451","$5,062,185"
258,2020,CA,23,Kevin McCarthy,R,True,True,62.1,"$27,780,644","$24,265,583"
259,2020,CA,23,Kim Mangone,D,False,False,37.9,"$1,671,101","$1,665,373"
260,2020,CA,24,Salud Carbajal,D,True,True,58.7,"$2,117,836","$1,451,622"
261,2020,CA,24,Andy Caldwell,R,False,False,41.3,"$1,298,798","$1,268,199"
262,2020,CA,25,Mike Garcia,R,True,True,50.0,"$9,962,507","$9,584,648"
263,2020,CA,25,Christy Smith,D,False,False,50.0,"$5,977,734","$5,808,477"
264,2020,CA,26,Julia Brownley,D,True,True,60.6,"$1,976,695","$1,314,677"
265,2020,CA,26,Ronda Kennedy,R,False,False,39.4,"$246,226","$67,208"
266,2020,CA,27,Judy Chu,D,True,True,69.8,"$1,213,706","$956,298"
267,2020,CA,27,Johnny Nalbandian,R,False,False,30.2,"$39,584","$39,159"
268,2020,CA,28,Adam Schiff,D,True,True,72.7,"$19,382,855","$10,188,664"
269,2020,CA,28,Eric Early,R,False,False,27.3,"$4,085,322","$3,790,027"
270,2020,CA,29,Tony Cardenas,D,True,True,56.6,"$1,419,697","$1,213,588"
271,2020,CA,30,Brad Sherman,D,True,True,69.5,"$1,513,374","$1,111,826"
272,2020,CA,31,Pete Aguilar,D,True,True,61.3,"$2,475,748","$1,861,434"
273,2020,CA,31,Agnes Gibboney,R,False,False,38.7,"$138,687","$127,907"
274,2020,CA,32,Grace Napolitano,D,True,True,66.6,"$478,426","$251,047"
275,2020,CA,32,Joshua Scott,R,False,False,33.4,"$23,624","$14,248"
276,2020,CA,33,Ted Lieu,D,True,True,67.6,"$1,661,436","$1,582,573"
277,2020,CA,33,James Bradley,R,False,False,32.4,"$78,910","$79,035"
278,2020,CA,34,Jimmy Gomez,D,True,True,53.0,"$1,401,166","$1,268,312"
279,2020,CA,34,David Kim,D,False,False,47.0,"$193,430","$80,381"
280,2020,CA,35,Norma Torres,D,True,True,69.3,"$654,727","$664,600"
281,2020,CA,35,Mike Cargile,R,False,False,30.7,"$36,113","$35,915"
282,2020,CA,36,Raul Ruiz,D,True,True,60.3,"$2,402,624","$1,732,443"
283,2020,CA,36,Erin Cruz,R,False,False,39.7,"$54,217","$53,840"
284,2020,CA,37,Karen Bass,D,True,True,85.9,"$2,216,467","$1,202,942"
285,2020,CA,37,Errol Webber,R,False,False,14.1,"$66,398","$174,076"
286,2020,CA,38,Linda Sanchez,D,True,True,74.3,"$1,246,008","$1,140,165"
287,2020,CA,39,Gil Cisneros,D,True,False,49.4,"$4,370,133","$4,350,464"
288,2020,CA,39,Young Kim,R,False,True,50.6,"$6,424,556","$6,021,651"
289,2020,CA,40,Lucille Roybal-Allard,D,True,True,72.7,"$739,790","$741,379"
290,2020,CA,40,Antonio Delgado,R,False,False,27.3,"$85,014","$79,270"
291,2020,CA,41,Mark Takano,D,True,True,64.0,"$1,020,456","$949,494"
292,2020,CA,41,Aja Smith,R,False,False,36.0,"$660,658","$659,909"
293,2020,CA,42,Ken Calvert,R,True,True,57.1,"$1,441,812","$1,549,113"
294,2020,CA,42,Liam O'Mara,D,False,False,42.9,"$130,065","$128,782"
295,2020,CA,43,Maxine Waters,D,True,True,71.7,"$1,836,660","$1,906,957"
296,2020,CA,43,Joe Collins,R,False,False,28.3,"$10,556,626","$9,921,103"
297,2020,CA,44,Nanette Barragan,D,True,True,67.8,"$1,173,909","$714,023"
298,2020,CA,45,Katie Porter,D,True,True,53.5,"$16,627,706","$6,443,700"
299,2020,CA,45,Greg Raths,R,False,False,46.5,"$1,245,767","$1,241,713"
300,2020,CA,46,Lou Correa,D,True,True,68.8,"$1,192,715","$650,707"
301,2020,CA,47,Alan Lowenthal,D,True,True,63.3,"$678,648","$854,902"
302,2020,CA,47,John Briscoe,R,False,False,36.7,"$25,302","$21,538"
303,2020,CA,48,Harley Rouda,D,True,False,48.9,"$5,968,858","$6,174,443"
304,2020,CA,48,Michelle Steel,R,False,True,51.1,"$6,305,665","$6,148,591"
305,2020,CA,49,Mike Levin,D,True,True,53.1,"$3,845,768","$2,901,566"
306,2020,CA,49,Brian Maryott,R,False,False,46.9,"$2,810,253","$2,808,217"
307,2020,CA,50,Darrell Issa,R,False,True,54.0,"$11,239,670","$10,947,106"
308,2020,CA,50,Ammar Campa-Najjar,D,False,False,46.0,"$6,248,210","$6,247,762"
309,2020,CA,51,Juan Vargas,D,True,True,68.3,"$799,734","$801,671"
310,2020,CA,51,Juan Hidalgo,R,False,False,31.7,"$83,730","$81,182"
311,2020,CA,52,Scott Peters,D,True,True,61.6,"$1,911,791","$2,131,849"
312,2020,CA,52,James Debello,R,False,False,38.4,"$233,464","$224,630"
313,2020,CA,53,Sara Jacobs,D,False,True,59.5,"$7,678,363","$7,586,186"
314,2020,CA,53,Georgette Gomez,D,False,False,40.5,"$1,691,794","$1,663,252"
315,2020,CO,01,Diana DeGette,D,True,True,73.7,"$1,201,026","$1,077,130"
316,2020,CO,02,Joseph Neguse,D,True,True,61.5,"$1,353,325","$674,602"
317,2020,CO,02,Charles Winn,R,False,False,35.4,"$98,338","$98,338"
318,2020,CO,03,Diane Mitsch Bush,D,False,False,45.2,"$5,008,274","$4,984,238"
319,2020,CO,03,Lauren Boebert,R,False,True,51.4,"$2,989,510","$2,632,716"
320,2020,CO,04,Ken Buck,R,True,True,60.1,"$478,984","$539,393"
321,2020,CO,04,Ike McCorkle,D,False,False,36.1,"$369,871","$217,398"
